Reading,Author,Units,Pages,
A POST-NEOLIBERAL ECOPOLITICS? DELEUZE  GUATTARI  AND ZAPATISMO, Thomas Nail,0.4,11,theory
Arte  estética y política en el movimiento zapatista contemporáneo, Francisco De Parres Gómez y Alessandro Zagato,1,30,theory
Continuidad entre la ciencia y el arte en el movimiento Zapatista: una mirada desde la complejidad, Francisco De Parres Gómez,1,30,theory
El Festival 'Comparte por la Humanidad'. Estéticas y poéticas de la rebeldía en el movimiento Zapatista, Alessandro Zagato y Natalia Arcos,1,30,theory
Digital Resistance, Anthony Faramelli,2,60,theory
Resistance  Revolution and Fascism: Zapatismo and Assemblage Politics, Anthony Faramelli,6,180,theory
Returning To Revolution: Deleuze Guattari and Zapatismo, Thomas Nail,4,120,theory
Can the subaltern speak, Gayatri Spivak,1,30,theory
Of Grammatology, Jaques Derrida,3,90,theory
An Aesthesia of Networks, Anna Munster,3,90, network technology
Coding Freedom: The Ethics and Aesthetics of Hacking, Gabriella Coleman,3,90, network technology
The Stack: On Software and Sovereignty, Benjamin Bratton,3,90, network technology
The Software Arts, Sack Warren,1,30, network technology
Critical Code Studies, Mark Marino,1,30, network technology
Programmed Visions, Wendy Chun,3,30, network technology
The Rise of The Network Society: The Information Age: Economy  Society and Culture, Manuel Castells,3,30, network technology
The Network Society, Jan Van Dijk,3,30, network technology
Two bits: The cultural significance of free software, Christopher Jelty,3,30, network technology
The language of new media, Lev Manovich,3,30, network technology
On totalitarian interactivity, Lev Manovich,1,30, network technology
Affective Networks, Jodi Dean,1,30, network technology
Communism or NeoFeudalism, Jodi Dean,1,30, theory
The Temporality of Networks, Wendy Chun,0.7,22, network technology
Karl Marx at internet studies, Christian Fuchs and N. Dyer-Witherford,1,30, network technology
Cyberwar's Subjects. In Cyberwar and revolution, S. Matviyenko and N. Dyer Witherford,1,30, network technology
protocol: how control exists after decentralization. chapter 1 Physical Media, Alexander Galloway,0.83,25, network technology
'Introduction' in Network Aesthetics., Patrick Jagoda,1.2,37, network technology
Breathing: Chaos and Poetry, Franco Berardi,2,60, theory
Assembly, Michael Hardt & Antonio Negri,1.25,40, theory
Antioedipus: Capitalism and Schizophrenia, Gilles Deleuze and Felix Guattari,3.23,97, theory
A Thousand Plateaus, Gilles Deleuze and Felix Guattari,4,120, theory
More on Power Knowledge, Gayatri Spivak,1,26, theory
Limits and Openings of Marx in Derrida., Gayatri Spivak,0.7,22, theory
Foreigner Question., Jaques Derrida,1.2,35, theory
Revolutions. We have never been modern, Bruno Latour,1.3,39, theory
Making the beings of Technology Visible, Bruno Latour,0.8,25, theory
Agential Realism How Material-Discursive Practices Matter, Karen Barad,1.63,53, theory
Cognitive Assemblages - Unthought The power of the cognitive nonconscious, Katherine Hayles,2.1,63, theory
A Cyborg Manifesto: Science  Technology  and Socialist-Feminism in the Late Twentieth Century, Donna Haraway, 2.96, 28, theory
Vibrant Matter - The Force of Things, Jane Bennett, 0.6667, 19, theory
Vibrant Matter - The Agency of Assemblages, Jane Bennett, 0.6667, 19, theory
Vibrant Matter - Political Ecologies, Jane Bennett, 0.5, 15, theory
Never Again Mexico without us?, Elena Gil, 0.6, 18, theory
Imagined Communities, Anderson, 1, 30, theory
Introduction to Of Grammatology, Gayatri Spivak, 3, 89, theory
Right of Death and Power over Life, Michel Foucault, 0.85, 25, theory
Postcoloniality and the Artifice of History, Dipesh Chakrabarty, 0.6667, 20, theory
The intimacies of four continents, Lisa Lowe, 1, 30, theory
